,hyperparameters,trial_id,parent_study_id
54,"{'column_sample_by_tree': 1.0, 'min_child_weight': 68, 'l2_regularization': 1.0, 'base_score': 0.5, 'max_depth': 12, 'tree_method': 'auto', 'column_sample_by_level': 1.0, 'max_count': 161, 'monotone_constraints': '(0)', 'subsample_ratio': 1.0, 'learn_rate': 0.05601621713019527}",model_20211020-235536-2e18d86fcf-695b6e75b0,model_20211020-235536-2e18d86fcf
55,"{'l2_regularization': 1.0, 'max_depth': 10, 'learn_rate': 0.09574127860207975, 'max_count': 306, 'subsample_ratio': 1.0, 'column_sample_by_level': 1.0, 'min_child_weight': 53, 'column_sample_by_tree': 1.0, 'monotone_constraints': '(0)', 'base_score': 0.5, 'tree_method': 'auto'}",model_20211020-235536-2e18d86fcf-e2786d41d8,model_20211020-235536-2e18d86fcf
56,"{'column_sample_by_tree': 1.0, 'l2_regularization': 1.0, 'subsample_ratio': 1.0, 'base_score': 0.5, 'tree_method': 'auto', 'learn_rate': 0.05882395244900653, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'min_child_weight': 51, 'max_count': 284, 'max_depth': 12, 'loss': 'none'}",model_20211020-235536-2e18d86fcf-0b6218ba24,model_20211020-235536-2e18d86fcf
57,"{'max_depth': 11, 'max_count': 144, 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'tree_method': 'auto', 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'learn_rate': 0.05352566767903697, 'base_score': 0.5, 'min_child_weight': 48, 'column_sample_by_level': 1.0}",model_20211020-235232-65640a464b-d24c90b12b,model_20211020-235232-65640a464b
58,"{'tree_method': 'auto', 'monotone_constraints': '(0)', 'base_score': 0.5, 'min_child_weight': 62, 'max_count': 379, 'max_depth': 12, 'subsample_ratio': 1.0, 'l2_regularization': 1.0, 'column_sample_by_level': 1.0, 'column_sample_by_tree': 1.0, 'learn_rate': 0.058556986290156814}",model_20211020-235232-65640a464b-94046b736d,model_20211020-235232-65640a464b
59,"{'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'min_child_weight': 68, 'l2_regularization': 1.0, 'monotone_constraints': '(0)', 'learn_rate': 0.09974214507959224, 'max_count': 237, 'subsample_ratio': 1.0, 'base_score': 0.5, 'max_depth': 11, 'tree_method': 'auto', 'loss': 'none'}",model_20211020-235232-65640a464b-7d4ab500f7,model_20211020-235232-65640a464b
60,"{'max_count': 288, 'learn_rate': 0.07280832943549922, 'l2_regularization': 1.0, 'max_depth': 10, 'monotone_constraints': '(0)', 'column_sample_by_level': 1.0, 'tree_method': 'auto', 'min_child_weight': 33, 'column_sample_by_tree': 1.0, 'base_score': 0.5, 'subsample_ratio': 1.0}",model_20211020-235232-65640a464b-5ad57a4614,model_20211020-235232-65640a464b
61,"{'learn_rate': 0.08650524254908688, 'max_depth': 11, 'tree_method': 'auto', 'l2_regularization': 1.0, 'max_count': 170, 'min_child_weight': 46, 'column_sample_by_level': 1.0, 'monotone_constraints': '(0)', 'column_sample_by_tree': 1.0, 'subsample_ratio': 1.0, 'base_score': 0.5}",model_20211020-235232-65640a464b-fa80b55e8c,model_20211020-235232-65640a464b
62,"{'max_count': 381, 'max_depth': 12, 'min_child_weight': 35, 'monotone_constraints': '(0)', 'base_score': 0.5, 'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'l2_regularization': 1.0, 'tree_method': 'auto', 'subsample_ratio': 1.0, 'learn_rate': 0.0891965117350909}",model_20211020-235232-65640a464b-81e40bdfae,model_20211020-235232-65640a464b
63,"{'tree_method': 'auto', 'l2_regularization': 1.0, 'base_score': 0.5, 'max_count': 400, 'max_depth': 12, 'learn_rate': 0.07916617284104771, 'monotone_constraints': '(0)', 'min_child_weight': 42, 'column_sample_by_tree': 1.0, 'column_sample_by_level': 1.0, 'subsample_ratio': 1.0}",model_20211020-235232-65640a464b-3c055ca0c3,model_20211020-235232-65640a464b
