,trial_id,parent_study_id,base_score,monotone_constraints,column_sample_by_tree,column_sample_by_level,tree_method,subsample_ratio,max_count,l2_regularization,learn_rate,max_depth,min_child_weight,loss,maxCategories,train_result,test_result
107,model_20211019-061005-03ae8dfb25-57a785bfb0,model_20211019-061005-03ae8dfb25,0.5,(0),1.0,1.0,auto,1.0,307,1.0,0.08954544844680938,11,36,,-2.0,274.0444641113281,309.8154296875
108,model_20211019-055846-bacbc606a4-2f761afa1d,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,245,1.0,0.08032352316327818,10,49,,,164.3257598876953,176.33921813964844
109,model_20211019-055846-bacbc606a4-111ab73957,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,135,1.0,0.07024432683504475,11,59,,,166.1311798095703,176.90106201171875
110,model_20211019-055846-bacbc606a4-7f6b154c73,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,312,1.0,0.05124767161551282,11,38,,,162.08526611328125,176.09158325195312
111,model_20211019-055846-bacbc606a4-006f0a8b8c,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,172,1.0,0.09013972805420478,12,35,,,156.30963134765625,175.89315795898438
112,model_20211019-055846-bacbc606a4-25856561fa,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,386,1.0,0.05800337160831408,11,68,,,162.59080505371094,176.1080322265625
113,model_20211019-055846-bacbc606a4-cc3af0e6cf,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,294,1.0,0.09970975884457918,11,37,,,160.3043975830078,176.09046936035156
114,model_20211019-055846-bacbc606a4-05a82ec4c2,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,173,1.0,0.08755690110054852,12,59,none,,157.85769653320312,175.87709045410156
115,model_20211019-055846-bacbc606a4-13317d2942,model_20211019-055846-bacbc606a4,0.5,(0),1.0,1.0,auto,1.0,102,1.0,0.08599892434967396,12,33,,,161.38209533691406,176.5431365966797
116,model_20211019-055227-b17360d3fd-dd8ae2c4e0,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,397,1.0,0.0788291549564962,11,37,,-2.0,242.51255798339844,255.18382263183597
117,model_20211019-055227-b17360d3fd-310fa08238,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,255,1.0,0.06594445199897277,12,61,,,238.44554138183597,254.3495941162109
118,model_20211019-055227-b17360d3fd-efdb98d655,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,105,1.0,0.09741312935397108,11,38,,,252.9267120361328,258.1356811523437
119,model_20211019-055227-b17360d3fd-912889d3b0,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,178,1.0,0.0510647567025836,10,51,,,260.7710266113281,259.98779296875
120,model_20211019-055227-b17360d3fd-842db6425a,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,305,1.0,0.07125949400129795,10,70,,,249.56393432617188,256.33868408203125
121,model_20211019-055227-b17360d3fd-91d4cc40ee,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,294,1.0,0.05221068396681153,12,35,,,239.15304565429688,254.7508087158203
122,model_20211019-055227-b17360d3fd-c5bac3c5bc,model_20211019-055227-b17360d3fd,0.5,(0),1.0,1.0,auto,1.0,192,1.0,0.07143025451542917,12,60,,,241.86654663085935,255.17843627929688
123,model_20211019-044405-5ba64738a8-367f6c2e17,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,242,1.0,0.07383001405925627,10,31,,,182.2620086669922,188.02651977539065
124,model_20211019-044405-5ba64738a8-dca21fe1b4,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,184,1.0,0.09998516636858,11,65,,,178.2349395751953,186.9089508056641
125,model_20211019-044405-5ba64738a8-da30e65a73,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,344,1.0,0.07611593766279284,12,40,none,,168.681396484375,184.77940368652344
126,model_20211019-044405-5ba64738a8-759cc0fb1f,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,324,1.0,0.05800502866895794,11,52,,,177.56021118164062,186.5032196044922
127,model_20211019-044405-5ba64738a8-d8b5c71727,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,116,1.0,0.057222145537203103,10,60,,,191.6798858642578,193.74627685546875
128,model_20211019-044405-5ba64738a8-e72a9de624,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,391,1.0,0.06562179330530393,12,64,,,169.90863037109375,184.7842559814453
129,model_20211019-044405-5ba64738a8-4be3bd4daa,model_20211019-044405-5ba64738a8,0.5,(0),1.0,1.0,auto,1.0,398,1.0,0.09652348748045854,12,30,,-2.0,166.0391082763672,184.52833557128903
130,model_20211019-043726-52a515b977-95cb4c222c,model_20211019-043726-52a515b977,0.5,(0),1.0,1.0,auto,1.0,345,1.0,0.093649231076461,11,31,,,171.89437866210938,177.80621337890625
131,model_20211019-043726-52a515b977-31bd05e56c,model_20211019-043726-52a515b977,0.5,(0),1.0,1.0,auto,1.0,264,1.0,0.06397918648202514,12,47,,,174.18824768066406,178.28382873535156
