,study_id,max_trials,evalution_metric
137,model_20210930-195310-c624ab6108,15,mean_absolute_error
138,model_20210930-195218-544f1851d6,15,mean_absolute_error
139,model_20210930-193034-4277c6ce46,15,mean_absolute_error
140,model_20210930-192524-de145ee3ba,20,mean_absolute_error
141,model_20210930-192508-15be5a76e3,20,mean_absolute_error
142,model_20210930-192456-f865bcbc33,20,mean_absolute_error
143,model_20210930-191759-dc8d4371e7,15,mean_absolute_error
144,model_20210930-190923-13c3e8ec48,15,mean_absolute_error
145,model_20210930-185434-ae7921ecab,15,mean_absolute_error
146,model_20210928-170814-c084f75313,15,mean_absolute_error
147,model_20210928-170214-b1a62ce7d8,15,mean_absolute_error
148,model_20210928-170007-0a18193938,15,mean_absolute_error
149,model_20210928-164529-b4a75238a4,15,mean_absolute_error
150,model_20210928-164319-e85ff58ad6,15,mean_absolute_error
151,model_20210928-163931-405bdcbab9,15,mean_absolute_error
152,model_20210928-163623-1b3f7225fa,15,mean_absolute_error
153,model_20210928-163608-0f93c98f8e,15,mean_absolute_error
154,model_20210927-165701-79bf1eed08,15,mean_absolute_error
155,model_20210927-165632-d188e12d40,15,mean_absolute_error
156,model_20210927-165457-1609ac4a77,15,mean_absolute_error
157,model_20210927-165207-7d7dda080c,15,mean_absolute_error
158,model_20210927-163742-b0841f6dbe,15,mean_absolute_error
159,model_20210927-163606-34e0cb424c,15,mean_absolute_error
160,model_20210927-163513-55f6d728a5,15,mean_absolute_error
161,model_20210927-163134-b58286b88f,15,mean_absolute_error
162,model_20210926-164645-abf62beb86,15,mean_absolute_error
163,model_20210926-164520-1bf5fa0eda,15,mean_absolute_error
164,model_20210926-164029-34428c2c48,15,mean_absolute_error
165,model_20210926-163411-527a144ca0,15,mean_absolute_error
166,model_20210926-162926-2370f3770f,15,mean_absolute_error
167,model_20210926-162602-058700a4f2,15,mean_absolute_error
168,model_20210926-162430-f3abde7f74,15,mean_absolute_error
169,model_20210926-162405-65a80ca966,15,mean_absolute_error
170,model_20210925-164408-3566fb1cd3,15,mean_absolute_error
171,model_20210925-164123-92a2065109,15,mean_absolute_error
172,model_20210925-163542-18c7189ae0,15,mean_absolute_error
173,model_20210925-163404-d54cc8d2b1,15,mean_absolute_error
174,model_20210925-163308-55ca02f0dc,15,mean_absolute_error
175,model_20210925-163021-3a0fb7923e,15,mean_absolute_error
176,model_20210925-163013-d6b4fc0691,15,mean_absolute_error
177,model_20210925-162638-0581144cd0,15,mean_absolute_error
178,model_20210924-164646-5f24a073af,15,mean_absolute_error
179,model_20210924-163553-1be30f1d90,15,mean_absolute_error
180,model_20210924-162945-e587fbc5d1,15,mean_absolute_error
181,model_20210924-162855-fb5eef03e0,15,mean_absolute_error
182,model_20210923-171135-b712d4ccc1,15,mean_absolute_error
183,model_20210923-170229-0c0200a7ee,15,mean_absolute_error
184,model_20210923-164542-5e39f004f3,15,mean_absolute_error
185,model_20210923-163727-dd1d4ce9ff,15,mean_absolute_error
186,model_20210923-163512-0a98393811,15,mean_absolute_error
187,model_20210923-163330-4e347be3f6,15,mean_absolute_error
188,model_20210923-163204-fd13976e44,15,mean_absolute_error
189,model_20210923-163140-200e56fcee,15,mean_absolute_error
190,model_20210922-171739-42918a0408,15,mean_absolute_error
191,model_20210922-171236-283639e6a1,15,mean_absolute_error
192,model_20210922-170448-ed083fcdab,15,mean_absolute_error
193,model_20210922-163449-09daf19e53,15,mean_absolute_error
194,model_20210922-163430-f959ada767,15,mean_absolute_error
195,model_20210922-163418-ab1ece7e5c,15,mean_absolute_error
196,model_20210922-163240-2beaff1a91,15,mean_absolute_error
197,model_20210922-162931-8ef335cbbd,15,mean_absolute_error
198,model_20210922-060950-278ac2347a,15,mean_absolute_error
199,model_20210922-060934-d5f80ea57c,15,mean_absolute_error
200,model_20210922-060329-305ab8720f,15,mean_absolute_error
201,model_20210922-060320-21e499dce2,15,mean_absolute_error
202,model_20210922-055337-2829f53ba7,15,mean_absolute_error
203,model_20210922-054915-851008cda4,15,mean_absolute_error
204,model_20210922-054847-0cee9750ba,15,mean_absolute_error
205,model_20210922-054605-ec1f126c02,15,mean_absolute_error
206,model_20210920-165113-73b712404f,15,mean_absolute_error
207,model_20210920-165051-bbfca33576,15,mean_absolute_error
208,model_20210920-165046-5b7450ff9b,15,mean_absolute_error
209,model_20210920-165029-30944e9a18,15,mean_absolute_error
210,model_20210920-164907-70a00e7cf9,15,mean_absolute_error
211,model_20210920-163807-483ea68a2a,15,mean_absolute_error
212,model_20210920-163534-6503d526fc,15,mean_absolute_error
213,model_20210920-163322-a3bf2d6c62,15,mean_absolute_error
214,model_20210919-164810-ab3005f100,15,mean_absolute_error
215,model_20210919-164526-51f4c80915,15,mean_absolute_error
